symbol,companyname,link,volume,price,high,low,openStock,change1,change2,YahooLink,YahooData1,YahooData21,YahooData22,date
BTC:AU,BTC Health Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,1137812,0.086,0.087,0.086,0.087,0.001,0.0118,https://finance.yahoo.com/quote/BTC:AU?p=BTC:AU&.tsrc=fin-srch,[],[],,7/1/2019
BLIAQ,Bb Liquidating Inc A,https://www.allpennystocks.com/hotpennystocks/oto.aspx,63121,0.010,0.010,0.005,0.005,0.007,2.3333,https://finance.yahoo.com/quote/BLIAQ?p=BLIAQ&.tsrc=fin-srch,0.0100,+0.0070,(+233.33%),7/1/2019
BLCM,Bellicum Pharmaceuticals Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1882213,1.620,1.870,1.560,1.810,-0.08,-0.0471,https://finance.yahoo.com/quote/BLCM?p=BLCM&.tsrc=fin-srch,1.6200,-0.0800,(-4.71%),7/1/2019
BET:AU,Betmakers Technology Group Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,1676760,0.047,0.047,0.045,0.045,0.002,0.0444,https://finance.yahoo.com/quote/BET:AU?p=BET:AU&.tsrc=fin-srch,[],[],,7/1/2019
BIMO,Bioneutra International Ltd.,https://www.allpennystocks.com/hotpennystocks/oto.aspx,1000,0.305,0.305,0.305,0.305,-0.185,-0.3776,https://finance.yahoo.com/quote/BIMO?p=BIMO&.tsrc=fin-srch,0.3050,-0.1850,(-37.76%),7/1/2019
BIIO,Bionovate Technologies Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,5215,0.069,0.069,0.060,0.060,0.009,0.15,https://finance.yahoo.com/quote/BIIO?p=BIIO&.tsrc=fin-srch,0.0690,+0.0090,(+15.00%),7/1/2019
BTGN,Bitcoin Generation Inc - Ordinary Shares,https://www.allpennystocks.com/hotpennystocks/oto.aspx,34092,0.050,0.060,0.050,0.050,0,,https://finance.yahoo.com/quote/BTGN?p=BTGN&.tsrc=fin-srch,0.0500,0.0000,(0.00%),7/1/2019
CLCI,CLIC Technology Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,63556,0.335,0.340,0.240,0.245,0.057,0.2042,https://finance.yahoo.com/quote/CLCI?p=CLCI&.tsrc=fin-srch,0.3350,+0.0568,(+20.42%),7/1/2019
CBGI,Cannabusiness Group Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,20500,0.011,0.013,0.011,0.013,0,,https://finance.yahoo.com/quote/CBGI?p=CBGI&.tsrc=fin-srch,0.0105,0.0000,(0.00%),7/1/2019
CCA:AU,Change Financial Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,38163,0.049,0.049,0.049,0.049,0,,https://finance.yahoo.com/quote/CCA:AU?p=CCA:AU&.tsrc=fin-srch,[],[],,7/1/2019
CHNGQ,China Natural Gas Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,4000,0.025,0.025,0.025,0.025,0,,https://finance.yahoo.com/quote/CHNGQ?p=CHNGQ&.tsrc=fin-srch,0.0245,0.0000,(0.00%),7/1/2019
CFMS,Conformis Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1996459,4.120,4.570,4.120,4.310,-0.24,-0.055,https://finance.yahoo.com/quote/CFMS?p=CFMS&.tsrc=fin-srch,4.1200,-0.2400,(-5.50%),7/1/2019
CORG,Cordia Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,384620,0.025,0.030,0.017,0.017,0.009,0.5188,https://finance.yahoo.com/quote/CORG?p=CORG&.tsrc=fin-srch,0.0250,+0.0085,(+51.88%),7/1/2019
CYTX,Cytori Therapeutics Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,6942754,0.280,0.340,0.260,0.280,0.038,0.1556,https://finance.yahoo.com/quote/CYTX?p=CYTX&.tsrc=fin-srch,0.2800,+0.0430,(+18.14%),7/1/2019
ESSI,Eco Science Solutions Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,31447,0.010,0.020,0.010,0.020,-0.01,-0.5,https://finance.yahoo.com/quote/ESSI?p=ESSI&.tsrc=fin-srch,0.0100,-0.0100,(-50.00%),7/1/2019
ENDP,Endo International plc,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,9281187,4.590,4.670,4.150,4.170,0.47,0.1141,https://finance.yahoo.com/quote/ENDP?p=ENDP&.tsrc=fin-srch,4.5900,+0.4700,(+11.41%),7/1/2019
EVSI,Envision Solar International Inc.,https://www.allpennystocks.com/hotpennystocks/oto.aspx,11804,4.990,5.100,4.940,5.051,0.05,0.0101,https://finance.yahoo.com/quote/EVSI?p=EVSI&.tsrc=fin-srch,4.9900,+0.0500,(+1.01%),7/1/2019
XOG,Extraction Oil &amp; Gas Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4734721,4.380,4.600,4.290,4.480,0.05,0.0115,https://finance.yahoo.com/quote/XOG?p=XOG&.tsrc=fin-srch,4.3800,+0.0500,(+1.15%),7/1/2019
FBR:AU,FBR Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,1335738,0.075,0.076,0.074,0.075,0.001,0.0135,https://finance.yahoo.com/quote/FBR:AU?p=FBR:AU&.tsrc=fin-srch,[],[],,7/1/2019
BITCF,First Bitcoin Capital Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,347619,0.230,0.265,0.173,0.200,-0.038,-0.1418,https://finance.yahoo.com/quote/BITCF?p=BITCF&.tsrc=fin-srch,0.2300,-0.0380,(-14.18%),7/1/2019
FRSX,Foresight Autonomous Holdings Ltd.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2332066,1.970,2.240,1.820,1.990,0.21,0.1193,https://finance.yahoo.com/quote/FRSX?p=FRSX&.tsrc=fin-srch,1.9700,+0.2100,(+11.93%),7/1/2019
FRED,Fred''s Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2434796,0.577,0.610,0.470,0.500,0.085,0.1733,https://finance.yahoo.com/quote/FRED?p=FRED&.tsrc=fin-srch,0.5768,+0.0852,(+17.33%),7/1/2019
FRLI,Frelii Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,221217,0.610,0.820,0.500,0.750,-0.14,-0.1867,https://finance.yahoo.com/quote/FRLI?p=FRLI&.tsrc=fin-srch,0.6100,-0.1400,(-18.67%),7/1/2019
FTR,Frontier Communications Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1931720,1.750,1.790,1.700,1.760,0,,https://finance.yahoo.com/quote/FTR?p=FTR&.tsrc=fin-srch,1.7500,0.0000,(0.00%),7/1/2019
FCEL,FuelCell Energy Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,51420778,0.242,0.308,0.177,0.189,0.066,0.3719,https://finance.yahoo.com/quote/FCEL?p=FCEL&.tsrc=fin-srch,0.2420,+0.0656,(+37.19%),7/1/2019
GNCC,Genco Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,7117,0.020,0.020,0.020,0.020,-0.005,-0.2,https://finance.yahoo.com/quote/GNCC?p=GNCC&.tsrc=fin-srch,0.0200,-0.0050,(-20.00%),7/1/2019
GERN,Geron Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3319905,1.410,1.460,1.390,1.430,0,,https://finance.yahoo.com/quote/GERN?p=GERN&.tsrc=fin-srch,1.4100,0.0000,(0.00%),7/1/2019
GIFX,"Gifa, Inc.",https://www.allpennystocks.com/hotpennystocks/oto.aspx,18500,0.054,0.055,0.044,0.055,0,,https://finance.yahoo.com/quote/GIFX?p=GIFX&.tsrc=fin-srch,0.0544,0.0000,(0.00%),7/1/2019
GBNW,Global Networks Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,26100,0.270,0.270,0.260,0.260,0.017,0.0657,https://finance.yahoo.com/quote/GBNW?p=GBNW&.tsrc=fin-srch,0.2700,+0.0166,(+6.57%),7/1/2019
GRPN,Groupon Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,6914337,3.580,3.650,3.530,3.600,0,,https://finance.yahoo.com/quote/GRPN?p=GRPN&.tsrc=fin-srch,3.5800,0.0000,(0.00%),7/1/2019
GPOR,Gulfport Energy Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4227039,4.840,5.130,4.810,5.000,-0.07,-0.0143,https://finance.yahoo.com/quote/GPOR?p=GPOR&.tsrc=fin-srch,4.8400,-0.0700,(-1.43%),7/1/2019
HT1:AU,HT&amp;E Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,359249,1.730,1.810,1.730,1.780,-0.03,-0.017,https://finance.yahoo.com/quote/HT1:AU?p=HT1:AU&.tsrc=fin-srch,[],[],,7/1/2019
HSGX,Histogenics Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3511191,0.198,0.205,0.193,0.195,0.006,0.0329,https://finance.yahoo.com/quote/HSGX?p=HSGX&.tsrc=fin-srch,0.1975,+0.0063,(+3.29%),7/1/2019
IDEX,Ideanomics Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1835765,2.590,2.730,2.360,2.450,0.13,0.0528,https://finance.yahoo.com/quote/IDEX?p=IDEX&.tsrc=fin-srch,2.5900,+0.1300,(+5.28%),7/1/2019
IMGN,ImmunoGen Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,4174862,2.340,2.370,2.173,2.210,0.17,0.0783,https://finance.yahoo.com/quote/IMGN?p=IMGN&.tsrc=fin-srch,2.3400,+0.1700,(+7.83%),7/1/2019
INFN,Infinera Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2553089,3.060,3.110,2.950,2.950,0.15,0.0515,https://finance.yahoo.com/quote/INFN?p=INFN&.tsrc=fin-srch,3.0600,+0.1500,(+5.15%),7/1/2019
IFRX,InflaRx N.V.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2789289,3.430,3.510,3.180,3.250,0.27,0.0854,https://finance.yahoo.com/quote/IFRX?p=IFRX&.tsrc=fin-srch,3.4300,+0.2700,(+8.54%),7/1/2019
IEA,Infrastructure and Energy Alternatives Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,26107269,2.680,3.490,2.350,2.500,0.64,0.3137,https://finance.yahoo.com/quote/IEA?p=IEA&.tsrc=fin-srch,2.6800,+0.6400,(+31.37%),7/1/2019
INPX,Inpixon,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1992713,0.580,0.639,0.552,0.639,-0.054,-0.0847,https://finance.yahoo.com/quote/INPX?p=INPX&.tsrc=fin-srch,0.5800,-0.0537,(-8.47%),7/1/2019
INSG,Inseego Corp.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1646172,4.910,5.020,4.830,5.000,0.12,0.0251,https://finance.yahoo.com/quote/INSG?p=INSG&.tsrc=fin-srch,4.9100,+0.1200,(+2.51%),7/1/2019
KALY,Kali Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,1448634,0.011,0.012,0.010,0.010,0.001,0.0865,https://finance.yahoo.com/quote/KALY?p=KALY&.tsrc=fin-srch,0.0113,+0.0009,(+8.65%),7/1/2019
KLMN,Kalmin Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,200,0.141,0.141,0.141,0.141,-0.009,-0.06,https://finance.yahoo.com/quote/KLMN?p=KLMN&.tsrc=fin-srch,0.1410,-0.0090,(-6.00%),7/1/2019
LFIN,Longfin Corp - Ordinary Shares - Class A,https://www.allpennystocks.com/hotpennystocks/oto.aspx,250,0.900,0.900,0.900,0.900,0.01,0.0112,https://finance.yahoo.com/quote/LFIN?p=LFIN&.tsrc=fin-srch,0.9001,+0.0100,(+1.12%),7/1/2019
MNKD,MannKind Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1567189,1.120,1.180,1.120,1.170,-0.03,-0.0261,https://finance.yahoo.com/quote/MNKD?p=MNKD&.tsrc=fin-srch,1.1200,-0.0300,(-2.61%),7/1/2019
MPHD,Media Pal Holdings Corp,https://www.allpennystocks.com/hotpennystocks/oto.aspx,500,0.021,0.021,0.021,0.021,-0.016,-0.4231,https://finance.yahoo.com/quote/MPHD?p=MPHD&.tsrc=fin-srch,0.0212,-0.0156,(-42.31%),7/1/2019
MGI,Moneygram International Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2313476,2.330,2.550,2.315,2.530,-0.14,-0.0567,https://finance.yahoo.com/quote/MGI?p=MGI&.tsrc=fin-srch,2.3300,-0.1400,(-5.67%),7/1/2019
MUTM,Mutual Merchant Svcs Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,40200,0.035,0.290,0.030,0.040,0.015,0.75,https://finance.yahoo.com/quote/MUTM?p=MUTM&.tsrc=fin-srch,0.0350,+0.0150,(+75.00%),7/1/2019
NGE:AU,NGE Capital Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,30000,0.610,0.610,0.610,0.610,0.03,0.0517,https://finance.yahoo.com/quote/NGE:AU?p=NGE:AU&.tsrc=fin-srch,[],[],,7/1/2019
NAKD,Naked Brand Group Limited,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2130652,0.145,0.159,0.130,0.149,0.009,0.0632,https://finance.yahoo.com/quote/NAKD?p=NAKD&.tsrc=fin-srch,0.1469,+0.0108,(+7.94%),7/1/2019
NTEK,NanoTech Entertainment Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,51206,0.030,0.030,0.025,0.025,0.005,0.1811,https://finance.yahoo.com/quote/NTEK?p=NTEK&.tsrc=fin-srch,0.0300,+0.0046,(+18.11%),7/1/2019
NBEV,New Age Beverages Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2517137,4.750,4.790,4.640,4.650,0.09,0.0193,https://finance.yahoo.com/quote/NBEV?p=NBEV&.tsrc=fin-srch,4.7500,+0.0900,(+1.93%),7/1/2019
NRPI,Nrp Stone Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,100000,0.016,0.016,0.016,0.016,-0.002,-0.1111,https://finance.yahoo.com/quote/NRPI?p=NRPI&.tsrc=fin-srch,0.0160,-0.0020,(-11.11%),7/1/2019
ODP,Office Depot Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,5802338,2.010,2.120,1.950,2.080,-0.05,-0.0243,https://finance.yahoo.com/quote/ODP?p=ODP&.tsrc=fin-srch,2.0100,-0.0500,(-2.43%),7/1/2019
OPK,Opko Health Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,6679409,2.470,2.530,2.440,2.500,0.03,0.0123,https://finance.yahoo.com/quote/OPK?p=OPK&.tsrc=fin-srch,2.4700,+0.0300,(+1.23%),7/1/2019
ORN:AU,Orion Minerals Limited - Ordinary Shares,https://www.allpennystocks.com/hotpennystocks/oto.aspx,535461,0.031,0.032,0.031,0.032,-0.001,-0.0313,https://finance.yahoo.com/quote/ORN:AU?p=ORN:AU&.tsrc=fin-srch,[],[],,7/1/2019
TEUM,Pareteum Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,7835600,2.640,2.900,2.600,2.860,0.03,0.0115,https://finance.yahoo.com/quote/TEUM?p=TEUM&.tsrc=fin-srch,2.6400,+0.0300,(+1.15%),7/1/2019
OOIL,Perkins Oil &amp; Gas Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,16091,0.055,0.055,0.050,0.053,0.005,0.1,https://finance.yahoo.com/quote/OOIL?p=OOIL&.tsrc=fin-srch,0.0550,+0.0050,(+10.00%),7/1/2019
PLUG,Plug Power Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3538931,2.240,2.330,2.210,2.320,-0.01,-0.0044,https://finance.yahoo.com/quote/PLUG?p=PLUG&.tsrc=fin-srch,2.2400,-0.0100,(-0.44%),7/1/2019
PRPO,Precipio Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3994436,4.080,4.390,3.519,3.520,0.7,0.2071,https://finance.yahoo.com/quote/PRPO?p=PRPO&.tsrc=fin-srch,4.0800,+0.7000,(+20.71%),7/1/2019
BRVVF,Quantum Cobalt Corp.,https://www.allpennystocks.com/hotpennystocks/oto.aspx,36400,0.040,0.040,0.035,0.036,0.007,0.2121,https://finance.yahoo.com/quote/BRVVF?p=BRVVF&.tsrc=fin-srch,0.0400,+0.0070,(+21.21%),7/1/2019
QTT,Qutoutiao Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1589803,3.940,4.150,3.920,4.120,0,,https://finance.yahoo.com/quote/QTT?p=QTT&.tsrc=fin-srch,3.9400,0.0000,(0.00%),7/1/2019
RIGL,Rigel Pharmaceuticals Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2210620,2.530,2.690,2.510,2.670,-0.08,-0.0307,https://finance.yahoo.com/quote/RIGL?p=RIGL&.tsrc=fin-srch,2.5300,-0.0800,(-3.07%),7/1/2019
RIOT,Riot Blockchain Inc,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2778634,2.710,2.900,2.700,2.900,-0.43,-0.1369,https://finance.yahoo.com/quote/RIOT?p=RIOT&.tsrc=fin-srch,2.7100,-0.4300,(-13.69%),7/1/2019
SLS,SELLAS Life Sciences Group Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,10668286,0.115,0.120,0.110,0.120,0.003,0.0222,https://finance.yahoo.com/quote/SLS?p=SLS&.tsrc=fin-srch,0.1150,+0.0025,(+2.22%),7/1/2019
SESN,Sesen Bio Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3926912,1.510,1.540,1.360,1.530,0.01,0.0067,https://finance.yahoo.com/quote/SESN?p=SESN&.tsrc=fin-srch,1.5100,+0.0100,(+0.67%),7/1/2019
SINT,SiNtx Technologies Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3708523,0.087,0.094,0.080,0.090,0.002,0.0247,https://finance.yahoo.com/quote/SINT?p=SINT&.tsrc=fin-srch,0.0871,+0.0021,(+2.47%),7/1/2019
PLKT,Solar Gold Ltd Com (New),https://www.allpennystocks.com/hotpennystocks/oto.aspx,200,0.100,0.100,0.050,0.050,0,,https://finance.yahoo.com/quote/PLKT?p=PLKT&.tsrc=fin-srch,0.1000,0.0000,(0.00%),7/1/2019
SOLI,Solei Systems Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,10691,1.000,1.050,0.980,0.980,0.02,0.0204,https://finance.yahoo.com/quote/SOLI?p=SOLI&.tsrc=fin-srch,1.0000,+0.0200,(+2.04%),7/1/2019
SRNE,Sorrento Therapeutics Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2447327,2.550,2.770,2.470,2.770,-0.12,-0.0449,https://finance.yahoo.com/quote/SRNE?p=SRNE&.tsrc=fin-srch,2.5500,-0.1200,(-4.49%),7/1/2019
TRNX,Taronis Technologies Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,6920745,0.136,0.155,0.129,0.155,-0.014,-0.0907,https://finance.yahoo.com/quote/TRNX?p=TRNX&.tsrc=fin-srch,0.1364,-0.0136,(-9.07%),7/1/2019
TXMD,TherapeuticsMD Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3246750,2.560,2.683,2.520,2.650,-0.04,-0.0154,https://finance.yahoo.com/quote/TXMD?p=TXMD&.tsrc=fin-srch,2.5600,-0.0400,(-1.54%),7/1/2019
TGIC,Triad Guaranty Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,670,0.220,0.220,0.220,0.220,0.07,0.4667,https://finance.yahoo.com/quote/TGIC?p=TGIC&.tsrc=fin-srch,0.2200,+0.0700,(+46.67%),7/1/2019
UPL,Ultra Petroleum Corp.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,3321415,0.177,0.201,0.177,0.195,-0.003,-0.0183,https://finance.yahoo.com/quote/UPL?p=UPL&.tsrc=fin-srch,0.1767,-0.0033,(-1.83%),7/1/2019
UOIP,UnifiedOnline Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,174945,0.015,0.015,0.014,0.015,0,,https://finance.yahoo.com/quote/UOIP?p=UOIP&.tsrc=fin-srch,0.0150,0.0000,(0.00%),7/1/2019
UCSO,United Consortium Ltd,https://www.allpennystocks.com/hotpennystocks/oto.aspx,246066,0.024,0.040,0.020,0.024,-0.016,-0.4,https://finance.yahoo.com/quote/UCSO?p=UCSO&.tsrc=fin-srch,0.0240,-0.0160,(-40.00%),7/1/2019
UNDT,Universal Detcton Tech,https://www.allpennystocks.com/hotpennystocks/oto.aspx,2769,0.011,0.011,0.011,0.011,0.001,0.1,https://finance.yahoo.com/quote/UNDT?p=UNDT&.tsrc=fin-srch,0.0110,+0.0010,(+10.00%),7/1/2019
UNSS,Universal Solar Tech Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,17454772,0.018,0.023,0.016,0.023,-0.002,-0.0933,https://finance.yahoo.com/quote/UNSS?p=UNSS&.tsrc=fin-srch,0.0175,-0.0018,(-9.33%),7/1/2019
UXIN,Uxin Limited,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2854702,2.330,2.470,2.196,2.200,0.13,0.0591,https://finance.yahoo.com/quote/UXIN?p=UXIN&.tsrc=fin-srch,2.3300,+0.1300,(+5.91%),7/1/2019
VBIV,VBI Vaccines Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2481134,1.050,1.180,1.040,1.160,-0.12,-0.1026,https://finance.yahoo.com/quote/VBIV?p=VBIV&.tsrc=fin-srch,1.0500,-0.1200,(-10.26%),7/1/2019
VEON,VEON Ltd.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2305221,2.790,2.850,2.760,2.850,-0.01,-0.0036,https://finance.yahoo.com/quote/VEON?p=VEON&.tsrc=fin-srch,2.7900,-0.0100,(-0.36%),7/1/2019
VSTM,Verastem Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2513682,1.410,1.515,1.400,1.490,-0.1,-0.0662,https://finance.yahoo.com/quote/VSTM?p=VSTM&.tsrc=fin-srch,1.4100,-0.1000,(-6.62%),7/1/2019
VBIO,Vitality Biopharma,https://www.allpennystocks.com/hotpennystocks/oto.aspx,31590,0.250,0.300,0.220,0.225,-0.05,-0.1667,https://finance.yahoo.com/quote/VBIO?p=VBIO&.tsrc=fin-srch,0.2500,-0.0500,(-16.67%),7/1/2019
VUZI,Vuzix Corporation,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,2020365,3.520,3.620,3.170,3.540,-0.57,-0.1394,https://finance.yahoo.com/quote/VUZI?p=VUZI&.tsrc=fin-srch,3.5200,-0.5700,(-13.94%),7/1/2019
WLAB,White Label Liquid Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,411448,0.120,0.135,0.108,0.135,0.005,0.0435,https://finance.yahoo.com/quote/WLAB?p=WLAB&.tsrc=fin-srch,0.1200,+0.0050,(+4.35%),7/1/2019
WKHS,Workhorse Group Inc.,https://www.allpennystocks.com/hotpennystocks/nsd.aspx,1672975,2.970,3.050,2.850,3.000,0.03,0.0102,https://finance.yahoo.com/quote/WKHS?p=WKHS&.tsrc=fin-srch,2.9700,+0.0300,(+1.02%),7/1/2019
ZOOM,Zoom Technologies Inc (DE),https://www.allpennystocks.com/hotpennystocks/oto.aspx,26193,1.880,1.900,1.610,1.900,0.16,0.093,https://finance.yahoo.com/quote/ZOOM?p=ZOOM&.tsrc=fin-srch,1.8800,+0.1600,(+9.30%),7/1/2019
ZSTN,Zstar Enterprises Inc,https://www.allpennystocks.com/hotpennystocks/oto.aspx,130,0.016,0.016,0.016,0.016,0.001,0.0662,https://finance.yahoo.com/quote/ZSTN?p=ZSTN&.tsrc=fin-srch,0.0160,+0.0009,(+6.29%),7/1/2019
